fate,count,library,sample
low quality barcode,2957559,Lib-2,2022-03-14_thaw-3_no-antibody_control_1
unparseable barcode,297564,Lib-2,2022-03-14_thaw-3_no-antibody_control_1
failed chastity filter,0,Lib-2,2022-03-14_thaw-3_no-antibody_control_1
valid barcode,10326783,Lib-2,2022-03-14_thaw-3_no-antibody_control_1
invalid barcode,2484581,Lib-2,2022-03-14_thaw-3_no-antibody_control_1
