fate,count,library,sample
low quality barcode,2719979,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1
unparseable barcode,1652707,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1
failed chastity filter,0,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1
valid barcode,14126952,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1
invalid barcode,2177873,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1
