fate,count,library,sample
low quality barcode,3021832,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1
unparseable barcode,1686383,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1
failed chastity filter,0,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1
valid barcode,16181287,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1
invalid barcode,2741214,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1
