fate,count,library,sample
low quality barcode,4541052,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_50.0_1
unparseable barcode,567749,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_50.0_1
failed chastity filter,0,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_50.0_1
valid barcode,20240321,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_50.0_1
invalid barcode,3462696,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_50.0_1
