fate,count,library,sample
low quality barcode,4242513,Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_400.0_1
unparseable barcode,640147,Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_400.0_1
failed chastity filter,0,Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_400.0_1
valid barcode,19035063,Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_400.0_1
invalid barcode,3199058,Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_400.0_1
