fate,count,library,sample
low quality barcode,3437891,Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1
unparseable barcode,586526,Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1
failed chastity filter,0,Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1
valid barcode,21367862,Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1
invalid barcode,2572899,Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1
