fate,count,library,sample
low quality barcode,3462220,Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1
unparseable barcode,508110,Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1
failed chastity filter,0,Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1
valid barcode,21575958,Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1
invalid barcode,1997468,Lib-3,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1
