fate,count,library,sample
low quality barcode,2963870,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1
unparseable barcode,376030,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1
failed chastity filter,0,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1
valid barcode,14606149,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1
invalid barcode,2221381,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1
