fate,count,library,sample
low quality barcode,3963669,Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1
unparseable barcode,570414,Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1
failed chastity filter,0,Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1
valid barcode,21570257,Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1
invalid barcode,2223258,Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1
