library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.159896_1,2022-03-14_thaw-3_no-antibody_control_1,2130-1-0114-112,0.1599,8456897,0.5986,388101,0.03758
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_0.79948_1,2022-03-14_thaw-3_no-antibody_control_1,2130-1-0114-112,0.7995,15667763,0.748,388101,0.03758
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_3.9974_1,2022-03-14_thaw-3_no-antibody_control_1,2130-1-0114-112,3.997,12301458,0.7602,388101,0.03758
