library,antibody_sample,no-antibody_sample,n_aa_substitutions,antibody_neut_standard_count,no-antibody_neut_standard_count,antibody_count,no-antibody_count,prob_escape_uncensored,prob_escape
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1,2022-03-14_thaw-3_no-antibody_control_1,0,13298045,1053114,1637752,5120626,0.02533,0.02533
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1,2022-03-14_thaw-3_no-antibody_control_1,1,13298045,1053114,2509048,6686008,0.02972,0.02972
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1,2022-03-14_thaw-3_no-antibody_control_1,2,13298045,1053114,2089942,4535968,0.03649,0.03649
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1,2022-03-14_thaw-3_no-antibody_control_1,3,13298045,1053114,1199083,2249782,0.04221,0.04221
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_200.0_1,2022-03-14_thaw-3_no-antibody_control_1,4,13298045,1053114,836387,1185119,0.05589,0.05589
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_400.0_1,2022-03-14_thaw-3_no-antibody_control_1,0,9471997,1053114,1705433,5120626,0.03703,0.03703
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_400.0_1,2022-03-14_thaw-3_no-antibody_control_1,1,9471997,1053114,2788720,6686008,0.04637,0.04637
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_400.0_1,2022-03-14_thaw-3_no-antibody_control_1,2,9471997,1053114,2487539,4535968,0.06097,0.06097
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_400.0_1,2022-03-14_thaw-3_no-antibody_control_1,3,9471997,1053114,1479564,2249782,0.07312,0.07312
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_400.0_1,2022-03-14_thaw-3_no-antibody_control_1,4,9471997,1053114,1101810,1185119,0.1034,0.1034
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_50.0_1,2022-03-14_thaw-3_no-antibody_control_1,0,8651062,1053114,2578845,5120626,0.06131,0.06131
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_50.0_1,2022-03-14_thaw-3_no-antibody_control_1,1,8651062,1053114,3720130,6686008,0.06773,0.06773
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_50.0_1,2022-03-14_thaw-3_no-antibody_control_1,2,8651062,1053114,2750783,4535968,0.07382,0.07382
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_50.0_1,2022-03-14_thaw-3_no-antibody_control_1,3,8651062,1053114,1501242,2249782,0.08123,0.08123
Lib-3,2022-03-14_thaw-3_antibody_COV2-2130_50.0_1,2022-03-14_thaw-3_no-antibody_control_1,4,8651062,1053114,966324,1185119,0.09926,0.09926
